system_id,bulk_id,miller_index,nads,traj_id,bulk_symbols,slab_sid,ads_symbols,y_relaxed,natoms,nads2,adsorption_energy
13583,mp-776370,"(1, 1, 1)",2,Ag3IrO4_mp-776370_4ajmBa5793_VRXYp8Rlco,Ag12Ir4O16,18929,O,-459.88434055,96,2,2.1388475200000094
32227,mp-867583,"(1, 1, 0)",1,AgSbO3_mp-867583_PU1NTVup6F_8v4arOAkKj,Ag12Sb12O36,34337,N,-328.00966509,63,1,0.2842731300000043
793,mp-867583,"(1, 0, 0)",2,AgSbO3_mp-867583_9tb8uA8ckZ_IKTVbS3tgC,Ag12Sb12O36,29099,OH,-604.60716649,116,2,-0.07115527000004818
9845,mp-867583,"(1, 0, 0)",1,AgSbO3_mp-867583_fHN7gzquyc_dlcvOWUJnl,Ag12Sb12O36,23159,HO2,-573.51470953,109,1,3.5020158699999477
33068,mp-867583,"(1, 0, 0)",1,AgSbO3_mp-867583_X4lLcBGmGY_sq72XUKs4g,Ag12Sb12O36,30006,HO2,-556.70440994,105,1,4.683349400000022
6676,mp-867583,"(1, 1, 0)",1,AgSbO3_mp-867583_PU1NTVup6F_agZiELd7np,Ag12Sb12O36,34337,HO2,-334.24401504,65,1,4.04492317999998
26671,mp-867583,"(1, 1, 0)",3,AgSbO3_mp-867583_PU1NTVup6F_uArJ3Q7IWP,Ag12Sb12O36,34337,C,-346.25853019,65,3,-1.4258639899999952
40691,mp-677054,"(0, 1, 0)",9,AgSbO3_mp-677054_9dR4TmeBry_ktNctPTK9x,Ag12Sb12O36,17774,O,-486.67162189,94,9,2.7236694422222265
19331,mp-867583,"(1, 1, 0)",2,AgSbO3_mp-867583_PU1NTVup6F_2N2vO4bbnX,Ag12Sb12O36,34337,O,-329.87693314,64,2,2.5130025399999987
36165,mp-677054,"(0, 1, 0)",2,AgSbO3_mp-677054_Dbc5yfICIs_6CeXgXb2DF,Ag12Sb12O36,21483,OH,-568.56222864,110,2,0.8767495650000399
8080,mp-867583,"(1, 0, 0)",1,AgSbO3_mp-867583_fHN7gzquyc_PPSYzEP4XP,Ag12Sb12O36,23159,OH,-569.6100873,108,1,-0.05236190000007923
38340,mp-867583,"(1, 1, 0)",1,AgSbO3_mp-867583_PU1NTVup6F_W4MOYjLgc2,Ag12Sb12O36,34337,OH,-330.08616663,64,1,0.7437715900000228
13431,mp-867583,"(1, 0, 0)",2,AgSbO3_mp-867583_9tb8uA8ckZ_k2uyynuy3i,Ag12Sb12O36,29099,O,-592.25710353,114,2,2.7178762099999823
19340,mp-1202934,"(1, 1, 0)",1,Ag3SbO4_mp-1202934_Upo4hgZhRA_HyA8HaV5Mq,Ag12Sb4O16,33722,H2O,-243.76368612,57,1,-0.6571874899999788
8533,mp-1202934,"(1, 0, 0)",2,Ag3SbO4_mp-1202934_Fzsv5n5YyH_g7GZIYBkT1,Ag12Sb4O16,1234,O,-186.50792256,42,2,2.024447349999999
10718,mp-1202934,"(1, 1, 0)",1,Ag3SbO4_mp-1202934_Upo4hgZhRA_dd6R3BR4m7,Ag12Sb4O16,33722,HO2,-243.06055986,57,1,4.118938769999996
4193,mp-1202934,"(1, 1, 0)",1,Ag3SbO4_mp-1202934_NcJUGWaAdB_Kq3fCXqVpQ,Ag12Sb4O16,27475,OH,-479.33866105,106,1,0.6832549899999947
8443,mp-1202934,"(1, 0, 0)",1,Ag3SbO4_mp-1202934_Fzsv5n5YyH_mhBDUXfuXg,Ag12Sb4O16,1234,H2O,-190.90001423,43,1,-1.0301969700000146
34721,mp-1202934,"(1, 1, 0)",1,Ag3SbO4_mp-1202934_Upo4hgZhRA_Ib2tJasGSj,Ag12Sb4O16,33722,O2,-239.12467193,56,1,4.668826700000004
39379,mp-1202934,"(1, 0, 0)",1,Ag3SbO4_mp-1202934_Fzsv5n5YyH_JyPmDYS3mt,Ag12Sb4O16,1234,H,-181.73194219,41,1,-2.707124930000016
25574,mp-1202934,"(1, 1, 0)",6,Ag3SbO4_mp-1202934_Upo4hgZhRA_bUOBNrTrqC,Ag12Sb4O16,33722,H,-248.13807864,60,6,0.17556999833333484
34987,mp-1202934,"(1, 0, 0)",1,Ag3SbO4_mp-1202934_Fzsv5n5YyH_O431zB0e5c,Ag12Sb4O16,1234,N,-184.80757083,41,1,-0.8597535700000076
78795,mp-28996,"(1, 0, 1)",1,Ag4Bi2O5_mp-28996_nxyfESVglp_1BAlCsNlP2,Ag16Bi8O20,76108,H,-754.31015367,169,1,0.5806048300000031
75261,mp-28996,"(0, 0, 1)",1,Ag4Bi2O5_mp-28996_1VgHq1ugXS_dnhZhF8Ltf,Ag16Bi8O20,68940,O2,-386.79301876,84,1,4.95415443000001
74585,mp-28996,"(1, 0, 1)",1,Ag4Bi2O5_mp-28996_rZ9EZpHhmE_mj74TJP0WC,Ag16Bi8O20,69232,H,-765.35636251,171,1,-0.08244515000009311
77977,mp-28996,"(0, 0, 1)",1,Ag4Bi2O5_mp-28996_l8WSFrb3vS_TjwFSJHper,Ag16Bi8O20,78861,O2,-386.79301876,84,1,4.95415443000001
6958,mp-755127,"(1, 1, 0)",2,Ag2GeO4_mp-755127_gPm7CkENho_ryQStTP0Cw,Ag16Ge8O32,33302,O,-535.7036238,112,2,2.0063611250000086
27692,mp-755127,"(1, 0, 1)",1,Ag2GeO4_mp-755127_y3F6o1Dz3e_W4un6LTGg7,Ag16Ge8O32,16682,H2O,-516.20369096,107,1,-0.6028164200000052
37830,mp-755127,"(1, 1, 0)",2,Ag2GeO4_mp-755127_gPm7CkENho_McO03OESSV,Ag16Ge8O32,33302,O,-534.92123715,112,2,2.3975544499999693
77926,mp-19318,"(1, 1, 0)",1,Ag2MoO4_mp-19318_oXbQoQBNqQ_dJm8UXLLG8,Ag16Mo8O32,80299,CO,-604.32141791,108,1,-0.6283913500000686
